question,correct_answer,model_answer,confidence_score,sentence_transformer_score,f1_score,human
Τι χρειαζόμαστε για να φτιάξουμε εσπρέσο;,Ζεστά φλιτζάνια και ζεστή μηχανή, ζεστά φλιτζάνια και ζεστή μηχανή.,0.947444439,1,0.909,yes
Πόσες φορές ανακατεύουμε τον ελληνικό καφέ;,1-2 φορές, 1-2 φορές.,0.838732779,1,0.8,yes
Πότε είναι έτοιμος ο ελληνικός καφές;,Όταν αρχίσει να φουσκώνει το καϊμάκι, όταν αρχίσει να φουσκώνει το καϊμάκι.,0.864382625,1,0.923,yes
Τι θέλει προσοχή στον ελληνικό καφέ;,Να μη φουσκώσει εντελώς, να μη φουσκώσει εντελώς.,0.952065527,1,0.889,yes
Πόσο χρόνο χρειάζεται ο καφές φίλτρου;,1 περίπου λεπτό, 1 περίπου λεπτό.,0.946832776,1,0.857,yes
Σε ποιούς ήταν αφιερωμένη η πρώτη μέρα των αγώνων;,Στους θεούς, στους θεούς,0.726358235,1,0.8,yes
Πώς λέγεται η εκπομπή;,«η Ελλάδα του χτες», «η Ελλάδα του χτες»,0.750555634,1,0.889,yes
Τι προκάλεσε η μετάφραση του Ευαγγελίου στη δημοτική;,Επεισόδια με νεκρούς και τραυματίες," επεισόδια με νεκρούς και τραυματίες,",0.862484634,1,0.909,yes
Πώς λέγεται ο εθνικός ύμνος των Ελλήνων; ,«Ύμνος εις την Ελευθερίαν»," «Ύμνος εις την Ελευθερίαν»,",0.633054256,1,0.889,yes
Πόσα είδη φώκιας υπάρχουν;,35,35,0.961101413,1,0.667,yes
Τι τρώει η μεσογειακή φώκια;,Ψάρια και κεφαλόποδα, ψάρια και κεφαλόποδα,0.861053944,1,0.857,yes
Γιατί βγαίνει η φώκια από την θάλασσα;,Για να ξεκουραστεί και να γεννήσει, για να ξεκουραστεί και να γεννήσει.,0.30585888,1,0.769,yes
Τι ισχύει για τους κατόχους ενυδρείων με τροπικά ψάρια που έχουν αδύναμο ανοσοποιητικό σύστημα;,Κινδυνεύουν περισσότερο, κινδυνεύουν περισσότερο,0.563040137,1,0.8,yes
Τι τρώνε οι καρέτα που προκαλεί θάνατο από ασφυξία;,Πλαστικές σακούλες," πλαστικές σακούλες,",0.484350085,1,0.8,yes
Τι συμβαίνει όταν οι καρέτα τρώνε πλαστικές σακούλες;,Πεθαίνουν από ασφυξία, πεθαίνουν από ασφυξία.,0.379381388,1,0.857,yes
Ποια ώρα της ημέρας γεννάνε οι θηλυκές καρέτα;,Αργά το βράδυ, αργά το βράδυ.,0.959875464,1,0.857,yes
